It      0      2 | T(s) 14.06 | Feas 60 579528.00 580171.84 | NO-INFEASIBLE | Div 0.76 -1.00 | Feas 1.00 1.00 | Pen 118.83 0.85
It  10500    322 | T(s) 814.80 | Feas 34 569519.00 569900.40 | Inf 47 569663.11 569985.24 | Div 0.54 0.50 | Feas 0.20 1.00 | Pen 173.11 0.10
It  11000    822 | T(s) 853.07 | Feas 53 569519.00 569721.00 | Inf 25 569663.11 570162.34 | Div 0.45 0.57 | Feas 0.22 1.00 | Pen 173.11 0.10
It  11500    456 | T(s) 891.44 | Feas 26 569456.00 570242.60 | Inf 49 569622.11 569920.63 | Div 0.61 0.49 | Feas 0.17 1.00 | Pen 173.11 0.10
It  12000    363 | T(s) 928.93 | Feas 31 569317.00 569967.64 | Inf 32 569607.15 570082.18 | Div 0.57 0.55 | Feas 0.24 1.00 | Pen 176.58 0.10
It  12500    863 | T(s) 966.78 | Feas 47 569317.00 569656.16 | Inf 61 569595.11 569843.27 | Div 0.47 0.48 | Feas 0.18 1.00 | Pen 180.11 0.10
It  13000   1363 | T(s) 1004.56 | Feas 31 569317.00 569705.00 | Inf 40 569560.18 569972.35 | Div 0.51 0.54 | Feas 0.21 1.00 | Pen 153.09 0.10
It  13500   1863 | T(s) 1043.18 | Feas 57 569317.00 569542.36 | Inf 29 569498.30 569929.56 | Div 0.41 0.56 | Feas 0.26 1.00 | Pen 156.15 0.10
It  14000   2363 | T(s) 1080.89 | Feas 64 569317.00 569458.32 | Inf 60 569537.38 569835.59 | Div 0.38 0.46 | Feas 0.22 1.00 | Pen 187.38 0.10
It  14500   2863 | T(s) 1118.56 | Feas 35 569317.00 569557.48 | Inf 47 569510.92 569831.21 | Div 0.42 0.49 | Feas 0.16 1.00 | Pen 162.46 0.10
It  15000    185 | T(s) 1155.84 | Feas 63 569289.00 569442.32 | Inf 25 569475.42 570236.68 | Div 0.37 0.58 | Feas 0.23 1.00 | Pen 165.71 0.10
It  15500    685 | T(s) 1193.04 | Feas 28 569289.00 569523.64 | Inf 56 569533.85 569853.76 | Div 0.47 0.49 | Feas 0.19 1.00 | Pen 198.85 0.10
It  16000    154 | T(s) 1231.58 | Feas 61 569219.00 569548.72 | Inf 51 569459.40 569936.00 | Div 0.40 0.51 | Feas 0.14 1.00 | Pen 243.40 0.10
It  16500    654 | T(s) 1269.00 | Feas 41 569219.00 569671.44 | Inf 27 569383.85 570232.87 | Div 0.51 0.60 | Feas 0.23 1.00 | Pen 175.85 0.10
It  17000   1154 | T(s) 1306.62 | Feas 57 569219.00 569711.44 | Inf 51 569386.37 569717.35 | Div 0.50 0.48 | Feas 0.23 1.00 | Pen 179.37 0.10
It  17500     51 | T(s) 1344.75 | Feas 32 569121.00 569746.44 | Inf 32 569359.46 569967.18 | Div 0.56 0.56 | Feas 0.22 1.00 | Pen 152.46 0.10
It  18000    551 | T(s) 1382.16 | Feas 32 569121.00 569824.20 | Inf 27 569393.62 569719.85 | Div 0.55 0.53 | Feas 0.20 1.00 | Pen 186.62 0.10
It  18500   1051 | T(s) 1420.19 | Feas 61 569121.00 569457.04 | Inf 49 569345.16 569656.78 | Div 0.46 0.44 | Feas 0.22 1.00 | Pen 194.16 0.10
It  19000   1551 | T(s) 1457.31 | Feas 26 569121.00 569785.64 | Inf 34 569349.04 569600.01 | Div 0.58 0.47 | Feas 0.22 1.00 | Pen 198.04 0.10
It  19500   2051 | T(s) 1495.49 | Feas 59 569121.00 569421.24 | Inf 61 569353.00 569533.96 | Div 0.45 0.38 | Feas 0.14 1.00 | Pen 202.00 0.10
It  20000     84 | T(s) 1532.89 | Feas 49 569060.00 569316.56 | Inf 27 569229.70 569618.05 | Div 0.44 0.52 | Feas 0.18 1.00 | Pen 171.70 0.10
It  20500    584 | T(s) 1570.75 | Feas 27 569060.00 569424.72 | Inf 50 569177.86 569536.24 | Div 0.52 0.47 | Feas 0.22 1.00 | Pen 148.86 0.10
It  21000   1084 | T(s) 1606.75 | Feas 31 569060.00 569488.28 | Inf 38 569211.21 569709.21 | Div 0.53 0.51 | Feas 0.23 1.00 | Pen 182.21 0.10
It  21500   1584 | T(s) 1640.95 | Feas 49 569060.00 569315.12 | Inf 27 569186.98 570013.35 | Div 0.44 0.57 | Feas 0.16 1.00 | Pen 157.98 0.10
It  22000     26 | T(s) 1675.41 | Feas 30 569034.00 569357.40 | Inf 48 569160.57 569466.14 | Div 0.51 0.46 | Feas 0.22 1.00 | Pen 189.57 0.10
It  22500    526 | T(s) 1709.40 | Feas 49 569034.00 569230.12 | Inf 30 569132.13 569506.07 | Div 0.44 0.52 | Feas 0.20 1.00 | Pen 161.13 0.10
It  23000   1026 | T(s) 1744.14 | Feas 62 569034.00 569194.48 | Inf 56 569015.36 569491.86 | Div 0.41 0.46 | Feas 0.19 1.00 | Pen 164.36 0.10
It  23500    182 | T(s) 1779.77 | Feas 44 569008.00 569207.36 | Inf 45 569015.36 569550.58 | Div 0.46 0.48 | Feas 0.20 1.00 | Pen 164.36 0.10
It  24000    374 | T(s) 1814.75 | Feas 29 568960.00 569618.56 | Inf 64 569018.64 569323.27 | Div 0.57 0.44 | Feas 0.35 1.00 | Pen 167.64 0.10
It  24500    874 | T(s) 1848.38 | Feas 27 568960.00 569719.76 | Inf 53 569022.00 569399.24 | Div 0.59 0.47 | Feas 0.22 1.00 | Pen 171.00 0.10
It  25000   1374 | T(s) 1883.31 | Feas 53 568960.00 569245.88 | Inf 42 568996.35 569429.59 | Div 0.47 0.50 | Feas 0.16 1.00 | Pen 145.35 0.10
It  25500   1874 | T(s) 1918.23 | Feas 30 568960.00 569475.64 | Inf 40 569025.42 569409.45 | Div 0.55 0.48 | Feas 0.15 1.00 | Pen 174.42 0.10
It  26000   2374 | T(s) 1952.97 | Feas 38 568960.00 569367.44 | Inf 58 568999.26 569282.81 | Div 0.50 0.45 | Feas 0.23 1.00 | Pen 148.26 0.10
It  26500     27 | T(s) 1988.08 | Feas 63 568925.00 569304.80 | Inf 38 568999.26 569582.03 | Div 0.47 0.52 | Feas 0.22 1.00 | Pen 148.26 0.10
It  27000    382 | T(s) 2022.80 | Feas 40 568831.00 569370.60 | Inf 32 568999.26 569733.14 | Div 0.52 0.55 | Feas 0.17 1.00 | Pen 148.26 0.10
It  27500    882 | T(s) 2056.55 | Feas 49 568831.00 569210.08 | Inf 56 569028.91 569408.04 | Div 0.46 0.46 | Feas 0.25 1.00 | Pen 177.91 0.10
It  28000   1382 | T(s) 2091.22 | Feas 31 568831.00 569311.56 | Inf 36 569002.22 569465.82 | Div 0.53 0.52 | Feas 0.21 1.00 | Pen 151.22 0.10
It  28500     94 | T(s) 2125.30 | Feas 51 568715.00 569048.20 | Inf 25 568795.22 569650.88 | Div 0.43 0.56 | Feas 0.16 1.00 | Pen 151.22 0.10
It  29000    299 | T(s) 2158.51 | Feas 51 568709.00 569023.04 | Inf 51 568798.24 569357.58 | Div 0.40 0.48 | Feas 0.21 1.00 | Pen 154.24 0.10
It  29500    799 | T(s) 2193.06 | Feas 33 568709.00 569236.12 | Inf 44 568801.33 569227.75 | Div 0.50 0.45 | Feas 0.15 1.00 | Pen 157.33 0.10
It  30000    365 | T(s) 2226.78 | Feas 27 568657.00 569068.88 | Inf 46 568801.33 569164.25 | Div 0.51 0.43 | Feas 0.17 1.00 | Pen 157.33 0.10
It  30500     97 | T(s) 2260.35 | Feas 41 568554.00 568895.00 | Inf 61 568676.46 568906.84 | Div 0.40 0.30 | Feas 0.23 1.00 | Pen 133.73 0.10
It  31000    597 | T(s) 2295.51 | Feas 62 568554.00 568825.44 | Inf 56 568602.48 568898.13 | Div 0.32 0.31 | Feas 0.20 1.00 | Pen 160.48 0.10
It  31500   1097 | T(s) 2329.88 | Feas 35 568554.00 568872.60 | Inf 46 568605.69 568997.01 | Div 0.40 0.35 | Feas 0.22 1.00 | Pen 163.69 0.10
It  32000    211 | T(s) 2363.94 | Feas 58 568490.00 568822.80 | Inf 27 568582.69 569038.57 | Div 0.36 0.41 | Feas 0.21 1.00 | Pen 163.69 0.10
It  32500     86 | T(s) 2397.97 | Feas 49 568421.00 568687.52 | Inf 48 568411.13 568695.72 | Div 0.30 0.22 | Feas 0.18 1.00 | Pen 139.13 0.10
It  33000    234 | T(s) 2430.92 | Feas 41 568145.00 568595.20 | Inf 52 568438.96 568806.90 | Div 0.26 0.30 | Feas 0.18 1.00 | Pen 166.96 0.10
It  33500    734 | T(s) 2464.91 | Feas 61 568145.00 568523.00 | Inf 38 568326.35 568781.37 | Div 0.21 0.30 | Feas 0.13 1.00 | Pen 200.35 0.10
It  34000   1234 | T(s) 2496.77 | Feas 33 568145.00 568434.92 | Inf 38 568250.75 568551.45 | Div 0.22 0.22 | Feas 0.28 1.00 | Pen 144.75 0.10
It  34500    499 | T(s) 2529.08 | Feas 39 568132.00 568327.68 | Inf 32 568250.75 568530.60 | Div 0.18 0.21 | Feas 0.16 1.00 | Pen 144.75 0.10
It  35000    237 | T(s) 2562.17 | Feas 53 568091.00 568267.40 | Inf 26 568164.70 568522.41 | Div 0.15 0.26 | Feas 0.11 1.00 | Pen 173.70 0.10
It  35500    737 | T(s) 2594.48 | Feas 30 568091.00 568270.96 | Inf 43 568135.65 568349.41 | Div 0.18 0.17 | Feas 0.32 1.00 | Pen 147.65 0.10
It  36000    455 | T(s) 2627.91 | Feas 61 568053.00 568178.20 | Inf 31 568165.18 568311.67 | Div 0.12 0.14 | Feas 0.22 1.00 | Pen 177.18 0.10
It  36500    955 | T(s) 2660.93 | Feas 46 568053.00 568149.32 | Inf 55 568051.60 568172.73 | Div 0.12 0.08 | Feas 0.20 1.00 | Pen 150.60 0.10
It  37000    272 | T(s) 2692.99 | Feas 34 568037.00 568176.40 | Inf 34 568006.01 568139.05 | Div 0.17 0.11 | Feas 0.27 1.00 | Pen 128.01 0.10
It  37500    204 | T(s) 2725.02 | Feas 49 567995.00 568121.84 | Inf 27 568011.61 568375.29 | Div 0.14 0.24 | Feas 0.20 1.00 | Pen 153.61 0.10
It  38000    704 | T(s) 2758.39 | Feas 28 567995.00 568267.24 | Inf 63 568046.02 568236.67 | Div 0.24 0.15 | Feas 0.13 1.00 | Pen 188.02 0.10
It  38500    126 | T(s) 2792.03 | Feas 45 567981.00 568128.72 | Inf 42 567944.02 568171.22 | Div 0.17 0.15 | Feas 0.22 1.00 | Pen 188.02 0.10
It  39000    626 | T(s) 2825.54 | Feas 55 567981.00 568136.00 | Inf 37 567981.63 568200.01 | Div 0.18 0.16 | Feas 0.19 1.00 | Pen 225.63 0.10
It  39500   1126 | T(s) 2859.12 | Feas 47 567981.00 568123.80 | Inf 40 567919.02 568097.98 | Div 0.19 0.14 | Feas 0.22 1.00 | Pen 163.02 0.10
It  40000    250 | T(s) 2892.17 | Feas 51 567866.00 568120.32 | Inf 30 567896.28 568076.81 | Div 0.21 0.14 | Feas 0.16 1.00 | Pen 166.28 0.10
It  40500    750 | T(s) 2925.95 | Feas 41 567866.00 568116.80 | Inf 54 567899.60 568073.81 | Div 0.23 0.12 | Feas 0.14 1.00 | Pen 169.60 0.10
It  41000   1250 | T(s) 2958.66 | Feas 58 567866.00 568107.32 | Inf 42 567834.60 568042.01 | Div 0.20 0.13 | Feas 0.22 1.00 | Pen 169.60 0.10
It  41500    159 | T(s) 2991.60 | Feas 40 567768.00 568188.96 | Inf 32 567762.16 567987.01 | Div 0.25 0.14 | Feas 0.17 1.00 | Pen 144.16 0.10
It  42000    659 | T(s) 3024.56 | Feas 57 567768.00 567985.68 | Inf 26 567762.16 568177.07 | Div 0.17 0.22 | Feas 0.16 1.00 | Pen 144.16 0.10
It  42500   1159 | T(s) 3056.93 | Feas 29 567768.00 567974.08 | Inf 54 567762.16 567885.28 | Div 0.21 0.09 | Feas 0.22 1.00 | Pen 144.16 0.10
It  43000    170 | T(s) 3087.96 | Feas 36 567743.00 567843.52 | Inf 41 567715.54 567826.46 | Div 0.11 0.08 | Feas 0.22 1.00 | Pen 122.54 0.10
It  43500    670 | T(s) 3118.65 | Feas 65 567743.00 567821.60 | Inf 41 567706.54 567822.34 | Div 0.10 0.10 | Feas 0.16 1.00 | Pen 122.54 0.10
It  44000    361 | T(s) 3150.50 | Feas 45 567675.00 567804.24 | Inf 39 567660.54 567814.64 | Div 0.13 0.12 | Feas 0.21 1.00 | Pen 122.54 0.10
It  44500    318 | T(s) 3181.68 | Feas 56 567596.00 567781.96 | Inf 64 567620.99 567856.90 | Div 0.15 0.15 | Feas 0.13 1.00 | Pen 124.99 0.10
It  45000    338 | T(s) 3213.31 | Feas 41 567589.00 567714.96 | Inf 42 567526.36 567687.15 | Div 0.14 0.12 | Feas 0.24 1.00 | Pen 108.36 0.10
It  45500    162 | T(s) 3243.81 | Feas 47 567576.00 567701.68 | Inf 31 567449.04 567730.97 | Div 0.16 0.17 | Feas 0.24 1.00 | Pen 130.04 0.10
It  46000     69 | T(s) 3274.49 | Feas 36 567492.00 567664.76 | Inf 53 567451.64 567551.22 | Div 0.16 0.09 | Feas 0.12 1.00 | Pen 132.64 0.10
It  46500     14 | T(s) 3305.63 | Feas 52 567472.00 567584.68 | Inf 39 567451.64 567537.04 | Div 0.15 0.10 | Feas 0.20 1.00 | Pen 132.64 0.10
It  47000    349 | T(s) 3336.35 | Feas 34 567448.00 567561.64 | Inf 57 567431.74 567485.30 | Div 0.17 0.09 | Feas 0.27 1.00 | Pen 112.74 0.10
It  47500    105 | T(s) 3367.32 | Feas 43 567381.00 567640.16 | Inf 43 567376.00 567513.28 | Div 0.21 0.13 | Feas 0.17 1.00 | Pen 115.00 0.10
It  48000    605 | T(s) 3399.40 | Feas 30 567381.00 567611.68 | Inf 61 567339.00 567454.04 | Div 0.21 0.12 | Feas 0.23 1.00 | Pen 115.00 0.10
It  48500    307 | T(s) 3430.11 | Feas 34 567373.00 567641.72 | Inf 55 567350.00 567440.76 | Div 0.24 0.12 | Feas 0.18 1.00 | Pen 138.00 0.10
It  49000     71 | T(s) 3460.54 | Feas 35 567309.00 567569.76 | Inf 48 567324.00 567414.96 | Div 0.21 0.11 | Feas 0.21 1.00 | Pen 138.00 0.10
It  49500     95 | T(s) 3490.87 | Feas 64 567259.00 567346.80 | Inf 65 567279.30 567335.87 | Div 0.14 0.08 | Feas 0.24 1.00 | Pen 117.30 0.10
It  50000     19 | T(s) 3520.67 | Feas 39 567240.00 567330.76 | Inf 44 567247.70 567326.82 | Div 0.15 0.12 | Feas 0.18 1.00 | Pen 99.70 0.10
It  50500     29 | T(s) 3550.53 | Feas 36 567226.00 567331.36 | Inf 37 567216.70 567280.02 | Div 0.16 0.11 | Feas 0.17 1.00 | Pen 99.70 0.10
It  51000     23 | T(s) 3580.31 | Feas 56 567179.00 567250.76 | Inf 65 567236.64 567268.60 | Div 0.12 0.08 | Feas 0.22 1.00 | Pen 119.64 0.10
It  51500     52 | T(s) 3608.20 | Feas 57 567079.00 567178.40 | Inf 27 567093.73 567233.63 | Div 0.09 0.12 | Feas 0.22 1.00 | Pen 103.73 0.10
It  52000    214 | T(s) 3635.98 | Feas 63 567065.00 567111.40 | Inf 38 567057.93 567196.26 | Div 0.10 0.12 | Feas 0.21 1.00 | Pen 89.93 0.10
It  52500     96 | T(s) 3665.30 | Feas 32 566997.00 567212.84 | Inf 59 567025.93 567122.73 | Div 0.18 0.12 | Feas 0.21 1.00 | Pen 89.93 0.10
It  53000     60 | T(s) 3693.55 | Feas 25 566904.00 567078.16 | Inf 30 566896.98 567142.29 | Div 0.18 0.18 | Feas 0.29 1.00 | Pen 64.98 0.10
It  53500    112 | T(s) 3721.23 | Feas 43 566884.00 566983.88 | Inf 49 566887.23 566957.08 | Div 0.14 0.12 | Feas 0.21 1.00 | Pen 55.23 0.10
It  54000    326 | T(s) 3749.19 | Feas 60 566850.00 566896.04 | Inf 35 566826.84 566984.02 | Div 0.12 0.17 | Feas 0.31 1.00 | Pen 46.95 0.10
It  54500    474 | T(s) 3777.78 | Feas 42 566820.00 566909.68 | Inf 44 566825.60 567111.93 | Div 0.15 0.19 | Feas 0.10 1.00 | Pen 67.60 0.10
It  55000     20 | T(s) 3805.96 | Feas 39 566796.00 566868.28 | Inf 32 566787.60 566994.33 | Div 0.16 0.20 | Feas 0.22 1.00 | Pen 67.60 0.10
It  55500      4 | T(s) 3834.13 | Feas 36 566703.00 566887.60 | Inf 56 566782.91 566931.71 | Div 0.19 0.17 | Feas 0.25 1.00 | Pen 68.95 0.10
It  56000    504 | T(s) 3860.96 | Feas 65 566703.00 566752.80 | Inf 54 566621.69 566797.56 | Div 0.12 0.16 | Feas 0.29 1.00 | Pen 42.35 0.10
It  56500    110 | T(s) 3888.85 | Feas 61 566624.00 566692.72 | Inf 48 566614.39 566740.91 | Div 0.13 0.14 | Feas 0.26 1.00 | Pen 43.19 0.10
It  57000     54 | T(s) 3916.37 | Feas 64 566593.00 566626.92 | Inf 34 566590.06 566688.60 | Div 0.06 0.16 | Feas 0.30 1.00 | Pen 44.06 0.10
It  57500    442 | T(s) 3943.79 | Feas 42 566582.00 566618.28 | Inf 62 566563.12 566619.69 | Div 0.10 0.12 | Feas 0.23 1.00 | Pen 44.06 0.10
It  58000    274 | T(s) 3971.76 | Feas 37 566552.00 566603.48 | Inf 53 566560.85 566620.10 | Div 0.13 0.12 | Feas 0.19 1.00 | Pen 53.93 0.10
It  58500    218 | T(s) 3998.73 | Feas 48 566514.00 566567.12 | Inf 36 566505.84 566598.14 | Div 0.12 0.15 | Feas 0.18 1.00 | Pen 45.84 0.10
It  59000    223 | T(s) 4026.65 | Feas 63 566479.00 566526.80 | Inf 37 566494.01 566656.49 | Div 0.11 0.18 | Feas 0.17 1.00 | Pen 55.01 0.10
It  59500    723 | T(s) 4053.53 | Feas 48 566479.00 566515.44 | Inf 63 566432.26 566504.20 | Div 0.11 0.12 | Feas 0.17 1.00 | Pen 46.75 0.10
It  60000    223 | T(s) 4080.72 | Feas 41 566393.00 566527.28 | Inf 53 566389.51 566513.76 | Div 0.15 0.16 | Feas 0.21 1.00 | Pen 46.75 0.10
It  60500     84 | T(s) 4109.32 | Feas 35 566384.00 566528.44 | Inf 55 566356.45 566430.28 | Div 0.15 0.12 | Feas 0.17 1.00 | Pen 57.23 0.10
It  61000     92 | T(s) 4135.89 | Feas 40 566378.00 566413.76 | Inf 36 566330.29 566430.11 | Div 0.10 0.14 | Feas 0.24 1.00 | Pen 48.64 0.10
It  61500    118 | T(s) 4161.36 | Feas 42 566367.00 566394.00 | Inf 50 566299.35 566360.63 | Div 0.08 0.12 | Feas 0.22 1.00 | Pen 42.17 0.10
It  62000    174 | T(s) 4190.24 | Feas 41 566350.00 566402.20 | Inf 49 566426.88 566580.49 | Div 0.11 0.15 | Feas 0.26 1.00 | Pen 43.88 0.10
It  62500     80 | T(s) 4218.90 | Feas 26 566313.00 566447.72 | Inf 34 566356.04 566441.83 | Div 0.12 0.12 | Feas 0.27 1.00 | Pen 38.04 0.10
It  63000    580 | T(s) 4245.86 | Feas 30 566313.00 566349.56 | Inf 40 566211.29 566508.00 | Div 0.08 0.15 | Feas 0.27 1.00 | Pen 38.80 0.10
It  63500   1080 | T(s) 4272.93 | Feas 63 566313.00 566320.88 | Inf 35 566283.52 566430.33 | Div 0.01 0.14 | Feas 0.25 1.00 | Pen 39.58 0.10
It  64000     49 | T(s) 4298.87 | Feas 37 566300.00 566364.96 | Inf 64 566187.62 566265.91 | Div 0.10 0.09 | Feas 0.17 1.00 | Pen 39.58 0.10
It  64500     29 | T(s) 4325.31 | Feas 48 566295.00 566303.32 | Inf 48 566273.51 566441.96 | Div 0.03 0.12 | Feas 0.31 1.00 | Pen 41.18 0.10
It  65000    529 | T(s) 4352.23 | Feas 27 566295.00 566404.80 | Inf 45 566307.41 566518.76 | Div 0.11 0.13 | Feas 0.20 1.00 | Pen 49.41 0.10
It  65500    335 | T(s) 4378.99 | Feas 30 566292.00 566301.72 | Inf 41 566349.76 566525.91 | Div 0.05 0.10 | Feas 0.19 1.00 | Pen 42.84 0.10
It  66000    835 | T(s) 4406.11 | Feas 44 566292.00 566450.44 | Inf 39 566617.21 567029.62 | Div 0.09 0.10 | Feas 0.00 1.00 | Pen 44.57 0.10
It  66500   1335 | T(s) 4433.11 | Feas 41 566292.00 566295.52 | Inf 32 566449.68 566555.93 | Div 0.02 0.11 | Feas 0.18 1.00 | Pen 46.37 0.10
It  67000    240 | T(s) 4459.82 | Feas 62 566250.00 566268.92 | Inf 44 566271.42 566368.74 | Div 0.04 0.11 | Feas 0.26 1.00 | Pen 39.42 0.10
It  67500    114 | T(s) 4486.58 | Feas 55 566233.00 566262.84 | Inf 42 566112.93 566204.89 | Div 0.04 0.10 | Feas 0.22 1.00 | Pen 39.42 0.10
It  68000     85 | T(s) 4514.43 | Feas 26 566206.00 566398.32 | Inf 35 566181.77 566434.04 | Div 0.14 0.17 | Feas 0.17 1.00 | Pen 40.21 0.10
It  68500    120 | T(s) 4541.30 | Feas 34 566169.00 566258.88 | Inf 30 566403.13 566552.55 | Div 0.11 0.11 | Feas 0.15 1.00 | Pen 48.25 0.10
It  69000     75 | T(s) 4566.86 | Feas 49 566146.00 566187.96 | Inf 46 566194.21 566436.62 | Div 0.07 0.14 | Feas 0.25 1.00 | Pen 49.21 0.10
It  69500    219 | T(s) 4593.53 | Feas 64 566112.00 566158.40 | Inf 31 566789.56 567318.69 | Div 0.07 0.16 | Feas 0.00 1.00 | Pen 42.67 0.10
It  70000    276 | T(s) 4621.03 | Feas 57 566107.00 566438.28 | Inf 42 566618.13 566984.01 | Div 0.14 0.15 | Feas 0.00 1.00 | Pen 43.52 0.10
It  70500     40 | T(s) 4646.93 | Feas 27 566095.00 566162.84 | Inf 52 566069.73 566121.99 | Div 0.09 0.06 | Feas 0.36 1.00 | Pen 37.73 0.10
It  71000     71 | T(s) 4674.05 | Feas 44 566074.00 566103.24 | Inf 53 566080.42 566183.45 | Div 0.06 0.09 | Feas 0.25 1.00 | Pen 55.42 0.10
It  71500     27 | T(s) 4698.12 | Feas 56 566033.00 566045.20 | Inf 34 566041.66 566056.55 | Div 0.03 0.06 | Feas 0.15 1.00 | Pen 57.66 0.10
It  72000     15 | T(s) 4722.54 | Feas 51 565982.00 565998.68 | Inf 52 565958.98 565973.99 | Div 0.03 0.03 | Feas 0.32 1.00 | Pen 42.49 0.10
It  72500      6 | T(s) 4746.51 | Feas 59 565963.00 565974.84 | Inf 52 565952.99 565975.38 | Div 0.04 0.06 | Feas 0.19 1.00 | Pen 50.99 0.10
It  73000     64 | T(s) 4771.50 | Feas 29 565955.00 566139.40 | Inf 37 565633.90 566007.69 | Div 0.09 0.13 | Feas 0.28 1.00 | Pen 37.58 0.10
It  73500    221 | T(s) 4797.62 | Feas 42 565940.00 565949.00 | Inf 36 565924.33 565944.12 | Div 0.04 0.07 | Feas 0.29 1.00 | Pen 38.33 0.10
It  74000     80 | T(s) 4823.28 | Feas 49 565934.00 565946.80 | Inf 28 565680.45 565879.15 | Div 0.06 0.10 | Feas 0.29 1.00 | Pen 33.90 0.10
It  74500     55 | T(s) 4852.17 | Feas 57 565932.00 565938.36 | Inf 49 565919.81 565982.57 | Div 0.03 0.08 | Feas 0.25 1.00 | Pen 48.81 0.10
It  75000    233 | T(s) 4877.86 | Feas 38 565907.00 565979.28 | Inf 48 565909.78 566411.08 | Div 0.08 0.11 | Feas 0.05 1.00 | Pen 50.78 0.10
It  75500    305 | T(s) 4904.76 | Feas 52 565906.00 565914.48 | Inf 39 565909.78 565925.06 | Div 0.05 0.06 | Feas 0.22 1.00 | Pen 50.78 0.10
It  76000     43 | T(s) 4930.91 | Feas 42 565887.00 565910.96 | Inf 41 565895.83 566106.25 | Div 0.06 0.10 | Feas 0.20 1.00 | Pen 52.83 0.10
It  76500    310 | T(s) 4955.93 | Feas 33 565870.00 565910.72 | Inf 33 565899.97 566333.90 | Div 0.08 0.15 | Feas 0.14 1.00 | Pen 54.97 0.10
